rank,name,country,director,score
1,肖申克的救赎,美国,"('蒂姆·罗宾斯 Tim Robbins /...<br>\n                            1994', '1993')",9.6
2,霸王别姬,法国,"('让·雷诺 Jean Reno / 娜塔莉·波特曼 ...<br>\n                            1994', '1994')",9.6
3,这个杀手不太冷,美国,"('罗伯托·贝尼尼 Roberto Beni...<br>\n                            1997', '1997')",9.4
4,阿甘正传,意大利,"('柊瑠美 Rumi Hîragi / 入野自由 Miy...<br>\n                            2001', '1993')",9.4
5,美丽人生,美国,"('莱昂纳多·迪卡普里奥 Le...<br>\n                            2010', '2009')",9.5
6,泰坦尼克号,日本,"('本·贝尔特 Ben Burtt / 艾丽...<br>\n                            2008', '2009')",9.3
7,千与千寻,美国,"('蒂姆·罗斯 Tim Roth / ...<br>\n                            1998', '2004')",9.3
8,辛德勒的名单,美国,"('金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...<br>\n                            1998', '1995')",9.5
9,盗梦空间,印度,"('马修·麦康纳 Matthew Mc...<br>\n                            2014', '1988')",9.3
10,忠犬八公的故事,意大利,"('马龙·白兰度 M...<br>\n                            1972', '2011')",9.3
11,机器人总动员,美国,"('刘德华 / 梁朝伟 / 黄秋生<br>\n                            2002', '2016')",9.3
12,三傻大闹宝莱坞,日本,"('威尔·史密斯 Will Smith ...<br>\n                            2006', '2010')",9.2
26,乱世佳人,美国,"('克里斯蒂安·贝尔 Christ...<br>\n                            2008', '1939')",9.1
27,活着,美国,"('葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang<br>\n                            1994', '1957')",9.2
28,控方证人,中国大陆,"('苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...<br>\n                            2012', '2003')",9.2
29,少年派的奇幻漂流,美国,"('安东内拉·阿蒂利 Anton...<br>\n                            1988', '2000')",9.6
30,天堂电影院,日本,"('亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...<br>\n                            1957', '1986')",9.0
31,鬼子来了,印度,"('阿米尔·汗 Aamir Khan / 法缇玛...<br>\n                            2016', '2009')",9.2
32,十二怒汉,美国,"('周星驰 Stephen Chow / 吴孟达 Man Tat Ng...<br>\n                            1995', '1999')",9.2
33,天空之城,日本,"('倍赏千惠子 Chieko Baishô / 木村拓...<br>\n                            2004', '1953')",9.2
34,飞屋环游记,美国,"('阿尔·帕西诺 Al Pacino / 克里斯...<br>\n                            1992', '2013')",9.4
35,大话西游之月光宝盒,美国,"('尊龙 John Lone / 陈...<br>\n                            1987', '1998')",9.1
36,搏击俱乐部,韩国,"('...<br>\n                            2017', '1989')",9.0
37,哈尔的移动城堡,德国,"('杰克·尼科尔森 Jack Nichols...<br>\n                            1975', '2013')",9.0
51,狮子王,美国,"('伊利亚·伍德 Elijah Wood / 西恩...<br>\n                            2002', '1974')",9.0
52,饮食男女,美国,"('娜塔莉·波特曼 Natalie Por...<br>\n                            2005', '2001')",9.2
53,海豚湾,美国,"('乔纳森·泰勒·托马...<br>\n                            1994', '1994')",8.9
54,美丽心灵,美国,"(""Richard O'Barry / 路易·西霍...<br>\n                            2009"", '2001')",9.0
